,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
119769,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.14,8.615,30,4,0,0
119783,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,6.115,3,4,0,5
119800,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.02,7.495,26,4,0,11
119806,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.75,8.545,28,4,0,16
119818,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.95,7.615,26,4,0,23
119833,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.18,8.515,27,4,0,31
119848,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.5900000000000001,8.455,27,4,0,59
119851,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.39,6.775,25,4,1,10
119855,2022,2021-22,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3,6.305,23,4,1,21
119858,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.26,8.445,26,4,1,45
119864,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.935,1,4,1,53
119891,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.29,6.515000000000001,24,4,2,20
119898,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.64,7.785,25,4,2,41
119900,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.34,8.335,28,4,2,59
119911,2022,2021-22,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.8300000000000001,8.405000000000001,27,4,3,15
119918,2022,2021-22,1610612764,Washington Wizards,203484,Kentavious Caldwell-Pope,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.37,6.085,23,4,3,35
119922,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.02,6.425,6,4,3,43
119924,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.3,8.205,27,4,4,3
119942,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,6.555,7,4,4,23
119948,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.5900000000000001,8.795,30,4,4,36
119956,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2799999999999999,6.265000000000001,5,4,5,17
119964,2022,2021-22,1610612764,Washington Wizards,1629655,Daniel Gafford,C,C,01-03-2022,22100553,WAS,CHA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,6.095,3,4,5,36
119986,2022,2021-22,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.16,5.995,2,4,6,18
120010,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.23,6.875,24,4,6,44
120013,2022,2021-22,1610612764,Washington Wizards,203484,Kentavious Caldwell-Pope,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Cutting Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1699999999999999,6.465,7,4,6,57
120028,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.3399999999999999,7.215,14,4,7,12
120040,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.13,7.455,27,4,7,35
120043,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.135,3,4,7,44
120048,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.1,6.985,12,4,8,4
120050,2022,2021-22,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.29,5.815,22,4,8,20
120059,2022,2021-22,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.01,6.105,3,4,8,28
120063,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.02,6.275,5,4,8,34
120068,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.78,7.195,16,4,9,3
120082,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Step Back Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-0.98,6.975,15,4,9,14
120093,2022,2021-22,1610612766,Charlotte Hornets,1629667,Jalen McDaniels,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,6.025,2,4,9,25
120111,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.18,6.155,4,4,9,36
120119,2022,2021-22,1610612766,Charlotte Hornets,1628998,Cody Martin,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.27,5.875,22,4,9,41
120123,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3,6.484999999999999,24,4,9,53
120142,2022,2021-22,1610612766,Charlotte Hornets,202397,Ish Smith,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.31,7.635,18,4,10,18
120144,2022,2021-22,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.34,6.515000000000001,24,4,10,40
120155,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.82,6.455,10,4,11,0
120158,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7,7.755,26,4,11,17
120197,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.11,5.925,1,3,0,0
120213,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.01,6.235,4,3,0,33
120234,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,5.855,1,3,0,54
120241,2022,2021-22,1610612766,Charlotte Hornets,202397,Ish Smith,G,PG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.045,2,3,1,10
120250,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,6.115,3,3,1,27
120265,2022,2021-22,1610612764,Washington Wizards,202722,Davis Bertans,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.17,7.355,26,3,1,34
120271,2022,2021-22,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.04,8.295,27,3,1,44
120275,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,6.035,2,3,1,56
120284,2022,2021-22,1610612766,Charlotte Hornets,1626162,Kelly Oubre Jr.,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.48,8.055,27,3,2,14
120292,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.41,8.094999999999999,27,3,2,33
120323,2022,2021-22,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.025,2,3,2,50
120336,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,6.085,3,3,3,13
120339,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.6,7.615,19,3,3,27
120344,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.21,8.335,28,3,3,34
120348,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.15,8.465,29,3,3,47
120355,2022,2021-22,1610612766,Charlotte Hornets,1628998,Cody Martin,F,SF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.28,6.605,24,3,3,59
120382,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.12,8.344999999999999,28,3,4,18
120384,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.01,6.065,2,3,4,25
120391,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.04,7.215,14,3,4,34
120394,2022,2021-22,1610612764,Washington Wizards,1630557,Corey Kispert,F,SF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,6.205,23,3,4,50
120399,2022,2021-22,1610612766,Charlotte Hornets,203486,Mason Plumlee,C,C,01-03-2022,22100553,WAS,CHA,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,5,17
120407,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.01,6.185,4,3,5,18
120422,2022,2021-22,1610612764,Washington Wizards,1630166,Deni Avdija,F,SF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.09,6.325,5,3,5,30
120431,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.2,7.465,17,3,5,43
120436,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.04,6.365,5,3,5,52
120455,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,6.535,7,3,6,27
120462,2022,2021-22,1610612764,Washington Wizards,203484,Kentavious Caldwell-Pope,G,SG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.09,6.085,3,3,6,42
120475,2022,2021-22,1610612766,Charlotte Hornets,202330,Gordon Hayward,F,SF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.37,8.235,28,3,6,59
120477,2022,2021-22,1610612764,Washington Wizards,1629655,Daniel Gafford,C,C,01-03-2022,22100553,WAS,CHA,Made Shot,True,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,7,22
120484,2022,2021-22,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.39,6.245,24,3,7,24
120489,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1699999999999999,6.085,3,3,7,44
120492,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.21,6.175,4,3,7,57
120498,2022,2021-22,1610612766,Charlotte Hornets,1630163,LaMelo Ball,G,PG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.88,7.715,27,3,8,10
120513,2022,2021-22,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,SG,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.08,7.235,18,3,8,32
120518,2022,2021-22,1610612764,Washington Wizards,1628398,Kyle Kuzma,F,PF,01-03-2022,22100553,WAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.36,8.175,27,3,8,46
