,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
181795,2014,2013-14,1610612742,Dallas Mavericks,203495,Ricky Ledo,G,SG,11-15-2013,21300130,MIA,DAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.65,0,4,0,7
181812,2014,2013-14,1610612742,Dallas Mavericks,1713,Vince Carter,G,SG,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.3,21.25,24,4,0,13
181824,2014,2013-14,1610612742,Dallas Mavericks,101181,Jose Calderon,G,PG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.2,23.35,24,4,0,39
181867,2014,2013-14,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.0,24.95,25,4,1,0
181921,2014,2013-14,1610612748,Miami Heat,2544,LeBron James,F,PF,11-15-2013,21300130,MIA,DAL,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.2,16.85,14,4,2,4
181924,2014,2013-14,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-15-2013,21300130,MIA,DAL,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.1,6.65,17,4,2,31
181939,2014,2013-14,1610612748,Miami Heat,2544,LeBron James,F,PF,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,6.15,1,4,3,32
181944,2014,2013-14,1610612748,Miami Heat,2547,Chris Bosh,C,C,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.1,20.15,17,4,3,57
181952,2014,2013-14,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.6,21.95,16,4,4,17
181958,2014,2013-14,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.6,20.05,18,4,4,33
181965,2014,2013-14,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.3,19.45,16,4,4,43
181990,2014,2013-14,1610612748,Miami Heat,2544,LeBron James,F,PF,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.7,21.15,20,4,5,22
182004,2014,2013-14,1610612742,Dallas Mavericks,1890,Shawn Marion,F,SF,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.0,21.45,24,4,5,40
182026,2014,2013-14,1610612742,Dallas Mavericks,1713,Vince Carter,G,SG,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.4,6.45,17,4,6,16
182034,2014,2013-14,1610612748,Miami Heat,1740,Rashard Lewis,F,SF,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.3,21.95,24,4,6,30
182052,2014,2013-14,1610612742,Dallas Mavericks,1713,Vince Carter,G,SG,11-15-2013,21300130,MIA,DAL,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,4,7,18
182056,2014,2013-14,1610612742,Dallas Mavericks,1713,Vince Carter,G,SG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.55,1,4,7,21
182059,2014,2013-14,1610612748,Miami Heat,202708,Norris Cole,G,PG,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.1,29.15,25,4,7,38
182065,2014,2013-14,1610612742,Dallas Mavericks,1713,Vince Carter,G,SG,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.4,8.65,9,4,8,0
182074,2014,2013-14,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.8,18.65,15,4,8,24
182087,2014,2013-14,1610612742,Dallas Mavericks,101181,Jose Calderon,G,PG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.9,22.85,24,4,8,34
182090,2014,2013-14,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,6.65,1,4,9,25
182118,2014,2013-14,1610612748,Miami Heat,1740,Rashard Lewis,F,SF,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.65,23,4,8,52
182125,2014,2013-14,1610612742,Dallas Mavericks,101181,Jose Calderon,G,PG,11-15-2013,21300130,MIA,DAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,26.15,25,4,9,5
182137,2014,2013-14,1610612748,Miami Heat,2365,Chris Andersen,C,C,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.15,1,4,9,12
182140,2014,2013-14,1610612748,Miami Heat,2365,Chris Andersen,C,C,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,6.35,1,4,9,23
182169,2014,2013-14,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.15,2,4,9,53
182171,2014,2013-14,1610612748,Miami Heat,201563,Michael Beasley,F,SF,11-15-2013,21300130,MIA,DAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.95,0,4,10,10
182178,2014,2013-14,1610612742,Dallas Mavericks,201971,DeJuan Blair,F,PF,11-15-2013,21300130,MIA,DAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.35,1,4,10,32
182187,2014,2013-14,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,11-15-2013,21300130,MIA,DAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.4,18.45,16,4,10,39
182194,2014,2013-14,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-15-2013,21300130,MIA,DAL,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.2,14.95,15,4,10,56
